Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek

Grška solata z ovčjim ali kozjim sirom in bageto z zeliščnim maslom,super sveža solata za popestritev piknika ali kosila,HOFER Slovenija,05.04.2017,21292,,,"pomlad, poletje",solate,30 minutid,"1. Bageti položimo na pekač in jih v pečici, ki smo jo segreli na 200 stopinj, v skladu z navodili na embalaži pečemo približno 7 minut oz. dokler ne postaneta lepo zlato rumeni. Medtem ko se bageti pečeta, pripravimo solato.2. Kumaro, paradižnike in papriko narežemo na kocke, čebulo sesekljamo. Vse skupaj damo v posodo, dodamo cele olive, začimbe, oljčno olje in kis ter dobro premešamo, da se okusi prepojijo. Solimo in popramo po okusu, nato po solati potrosimo na kocke narezan ovčji ali kozji sir in še malo začimb.3. H grški solati ponudimo še tople bagete z zeliščnim maslom.",1 kumara 3–4 srednje veliki paradižniki 1–2 papriki 1 čebula 20 zelenih oliv LYTTOS 200 g bio ovčjega ali bio kozjega sira NATUR AKTIV ščepec origana LE GUSTO ščepec bazilike LE GUSTO ščepec timijana LE GUSTO ščepec kopra LE GUSTO 4 žlice bio oljčnega olja KLOSTER TOPLOU 2 žlici jabolčnega kisa LOMEE sol poper LE GUSTO 2 bageti z zeliščnim maslom (za prilogo) 

Široki rezanci s kozicami v kremni omaki s penino,široki rezanci malo drugače,HOFER Slovenija,6.4.2017,21293,,,,,30 minut,"1. Najprej skuhamo testenine na način al dente. Medtem ko se testenine kuhajo, olupimo čebulo, jo na drobno sesekljamo in jo skupaj s kozicami popražimo na maslu. Kozice nato odstranimo iz ponve, praženo čebulo, ki je ostala v ponvi, pa zalijemo s penino in smetano za kuhanje.2. Tako pripravljeno omako pokuhamo, nato damo kozice nazaj v ponev. Na hitro zavremo in začinimo s poprom, soljo in malo limoninega soka. Rezance odcedimo, damo v skledo in vmešamo kozice v kremni omaki s penino. Okrasimo z malo posušene bazilike.3. K testeninam s kozicami v kremni omaki s penino se kot predjed odlično podajo mediteranske predjedi.",Za predjed: mediteranske predjedi LOMEE Za rezance: 400 g testenin GOURMET 100 g čebule 400 g kozic ALMARE SEAFOOD 100 g čajnega masla MILFINA 400 ml penine Silver Pearls vinske kleti RADGONSKE GORICE 200 ml smetane za kuhanje MILFINA sol poper LE GUSTO malo limoninega soka bazilika LE GUSTO 

Odličen fondant,lahek fondant,samsvojšef,6.4.2017,21294,rojstni dan otroka,,"pomlad, poletje, jesen, zima",sladice,75 minut,"1. Želatino raztopimo v 8 žlicah hladne vode.2. V posodi na zmernem ognju stopimo vodo in kristalni sladkor.3. Ko je sladkor stopljen, dodamo želatino. Mešamo, dokler se želatina ne raztopi (malo ima neprijeten vonj, ampak je vse OK).4. Prelijemo v posodo, v kateri bomo stepali (če ostanejo koščki želatine, prelijemo skozi cedilo). Počakamo, da se malo ohladi.6. Dodamo vanilijev ekstrakt in sol.7. Stepamo 10-15 minut, da se zmes poveča in pobeli (na začetku je rjava zaradi vanilije, ampak postane bela).8. Menjamo metlico in nastavimo tisto za testo.9. Sladkor v prahu presujemo.10. Polovico sladkorja zmešamo z metlico, preostalega stresemo na delovno površino, nekaj ga pustimo v skledi.11. Ko postanejo ""tekoči marshmallowsi"" zaradi sladkorja v prahu kompaktni, jih stresemo na sladkor v prahu, ki je pripravljen na pultu.12. Dodajamo sladkor v prahu in gnetemo, da postane mehek in ne lepljiv.13. Zavijemo v prozorno folijo in hranimo v omari. Naslednji dan lahko iz njega izdelujemo figurice ali pa obložimo torto :)","2 zavitka želatine v prahu, ali dva zavitka želatine v lističih 8 žlic hladne vode 2 skodelici kristalnega sladkorja 0,5 skodelice vode 1/4 žličke soli 2 žlički vanilijevega ekstrakta sladkor v prahu barve po želji "

Čokoladni sonček z vaniljevo kremo,"odlično pecivo, ki bo z mize izginilo še prej kot se bo ohladilo",Fala Slonček,6.4.2017,21295,"božič, velika noč, miklavževo",pečenje,,sladice,45 minut,"1. Kvas Fala z žličko sladkorja raztopimo v mlačnem mleku in ga prilijemo v posodo z ostalimi sestavinami brez masla in kakava. Zamesimo kvašeno testo. Med počasnim mešanjem počasi dodajamo na lističe narezano maslo. Na koncu mešamo deset minut na najvišji hitrosti. Nekaj minut pred koncem mešanja dodamo še kakav v prahu in mešamo še toliko časa, da se povsem enakomerno vmeša v testo. Lepo gladko testo pokrijemo in damo na toplo vzhajati.2. Med vzhajanjem pripravimo nadev. Stroku vanilije odstranimo semena. 3 dl mleka zavremo skupaj s semeni vanilije. Puding zmešamo s tremi žlicami sladkorja, dodamo preostalo mleko, rumenjak, dobro premešamo in zmes zakuhamo v vrelo mleko ter mešamo na vročini tako dolgo, da se puding skuha. Ohladimo.  Beljak stepemo v sneg, postopno dodajamo sladkor. V ohlajeno kremo vmešamo sneg beljaka.3. Vzhajano testo pregnetemo, razdelimo na pol* in pustimo počivati nekaj minut. Zatem testo razvaljamo v obliko kroga, odrežemo približno tri cm širok rob, nato pa krog skupaj z zunanjim odrezanim delom razrežemo na osem delov/trikotnikov. Na vsak košček testa položimo žlico nadeva. Dele testa, ki so nastali iz zunanjega dela kroga zvijemo v svaljek in jih pokončno zložimo na sredino pekača, da dobimo osrednji del sončka. Notranje trikotnike testa zvijemo v rogljičke, ki jih zložimo ob svaljkih na sredini. Enako naredimo z drugim delom testa in oblikujemo še drugi sonček. Sonček premažemo z mešanico jajca in mleka ter pustimo vzhajati, nato pa prestavimo v vročo pečico in pečemo približno 40 minut pri 180 stopinjah.","Testo: 1 kocka kvasa Fala 47 dag moke 2 dl mleka 8 dag jogurta 4 dag sladkorja 3 dag masla 2 jajci 2 rumenjaka 2 žlici olja 2 žlici kakava v prahu 1,5 male žličke soli Nadev: 4 dl mleka 1 strok vanilije 1 vanilin puding 2 žlici sladkorja 1 rumenjak 1 beljak 5 dag sladkorja "

Karamelna kokosova potica s čokolado,klasika malo drugače,Fala Slonček,7.4.2017,21296,"božič, velika noč, novo leto, miklavževo",pečenje,,sladice,45 minut,"1. Kvas Fala raztopimo v toplem mleku. V posodo odmerimo vse sestavine brez masla, prilijemo raztopljen kvas in zamesimo kvašeno testo. Med mešanjem dodajamo zmehčano maslo. Najprej mešamo počasi, zadnjih deset minut na najvišji hitrosti, da postane testo gladko in se ne trga, če poskušamo košček razvleči. Posodo pokrijemo in damo testo na toplo vzhajati.2. Med vzhajanjem pripravimo nadev: v ponvi segrejemo sladkor, da se stopi in karamelizira. Posebej zavremo sladko smetano in jo postopno dodajamo h karameliziranemu sladkorju. Ko dodamo del smetane, temeljito premešamo, da se sladkor poveže s smetano in dobimo gosto karamelno zmes (če bomo dodali preveč smetane in če ne bo dovolj vroča, se bo karamelizirani sladkor strdil, kar bo terjalo malo več mešanja in vročine, da se bo spet lepo utekočinil in povezal s smetano).  V zmes vmešamo kokosovo moko in temeljito premešamo. Dodamo limonin sok in lupinico ter ohladimo. V ohlajen nadev primešamo rumenjaka in sneg beljakov, ki smo jim med mešanjem dodali vanilin sladkor.3. Vzhajano testo stresemo na pult, ga pregnetemo, pustimo počivati nekaj minut, nato pa razvaljamo na pravokotnik. Premažemo ga z nadevom, posujemo na koščke narezano čokolado (termo-stabilne solzice, če jih imamo) in tesno zvijemo v zavitek. Položimo ga v namaščen model in damo ponovno vzhajati. Vzhajano potico premažemo s stepenim jajcem, na več mestih prebodemo z iglo in prestavimo v vročo pečico. Pečemo približno eno uro pri 175 stopinjah. Pečeno potico pustimo v modelu nekaj minut, nato jo obrnemo na trdo podlago in do konca ohladimo.","Testo: ½  kocke kvasa Fala 2 dl mleka 48 dag moke 7 dag kisle smetane 6 dag masla 3 dag sladkorja 2 jajci 2 žlici ruma 1,5 male žličke soli Nadev: 25 dag kokosove moke 12 dag sladkorja 1 vanilin sladkor 3 dl mleka ali smetane 4 žlice ruma 2 jajci sok in lupinica limone 20 dag čokolada jajce za premaz "
