ID,količina,merska enota,sestavina
21292,1,,kumara 
21292,4,,paradižnik 
21292,2,,paprika 
21292,1,,čebula 
21292,20,,oliva 
21292,200,g,sir
21292,1,ščepec,origano
21292,1,ščepec,bazilika
21292,1,ščepec,timijan
21292,1,ščepec,koper 
21292,4,žlica,oljčno olje 
21292,2,žlica,jabolčni kis
21292,1,,sol
21292,1,,poper 
21293,400,g,testenine 
21293,100,g,čebula 
21293,400,g,kozice 
21293,100,g,maslo
21293,400,ml,penina 
21293,200,ml,smetana za kuhanje
21293,1,,sol
21293,1,,poper
21293,1,,limonin sok
21293,1,,bazilika 
21294,2,zavitek,želatina 
21294,8,žlica,hladna voda 
21294,2,skodelica,sladkor 
21294,5,skodelica,voda 
21294,4,žlička,sol 
21294,2,žlička,vanilijev ekstrakt
21294,1,,sladkor v prahu  
21295,1,kocka,kvas 
21295,47,dag,moka 
21295,2,dl,mleko 
21295,8,dag,jogurt 
21295,4,dag,sladkor 
21295,3,dag,maslo 
21295,2,,jajce
21295,2,,rumenjak 
21295,2,žlica,olje 
21295,2,žlica,kakav v prahu
21295,5,žlička,sol 
21295,4,dl,mleko 
21295,1,strok,vanilija 
21295,1,,vanilin puding 
21295,2,žlica,sladkor 
21295,1,,rumenjak 
21295,1,,beljak 
21295,5,dag,sladkor 
21296,2,dl,mleko 
21296,48,dag,moka 
21296,7,dag,kisla smetana 
21296,6,dag,maslo 
21296,3,dag,sladkor 
21296,2,,jajce 
21296,2,žlica,rum 
21296,5,žlička,sol 
21296,25,dag,kokosova moka 
21296,12,dag,sladkor 
21296,1,,vanilin sladkor 
21296,3,dl,mleko 
21296,4,žlica,rum 
21296,2,,jajce
21296,1,,sok
21296,1,,lupina limona 
21296,20,dag,čokolada
21296,1,,jajce 
21297,1,kocka,kvas 
21297,47,dag,moka 
21297,2,dl,mleko 
21297,8,dag,jogurt 
21297,4,dag,sladkor 
21297,3,dag,maslo 
21297,2,,jajce 
21297,2,,rumenjak 
21297,2,žlica,olje 
21297,2,žlica,kakav v prahu
21297,5,žlička,sol 
21297,5,dl,mleko 
21297,25,dag,kokosova moka 
21297,12,dag,sladkor 
21297,2,,beljak 
21297,2,žlica,mascarpone sir
21297,1,,limonina lupina
21298,1,kocka,kvas 
21298,3,dl,mleko 
21298,80,dag,moka 
21298,15,dag,kisla smetana 
21298,15,dag,sladkor 
21298,14,dag,maslo 
21298,2,,jajce
21298,2,,rumenjak 
21298,5,žlička,sol 
21298,15,dag,maslo 
21298,10,dag,rozine 
21298,10,dag,brusnice 
21298,10,dag,suhe slive
21298,10,dag,jagode 
21298,4,,vanilin sladkor 
21298,1,žlica,sladkor 
21298,1,,jajce 
21299,7,dl,voda 
21299,15,dag,ržena moka 
21299,75,dag,bela moke
21299,1,kocka,kvas 
21299,20,dag,kislo testo 
21299,3,žlica,semena sezama 
21299,3,žlica,semena sončnic 
21299,3,žlička,sol
21299,5,dl,voda 
21300,5,dl,voda 
21300,34,dag,bela moka 
21300,20,dag,polnozrnata pirina moka 
